"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"acknowledges",12,6.973,276.295944054441
"acknowledging",13,7.103,280.296889773224
"acknowledgment",14,6.854,287.112703940736
"acknowledgments",15,6.014,298.552594654196
"acme",4,6.815,240.808961609465
"acne",4,6.284,244.086395125376
"acolyte",7,6.096,258.621995440955
"acorn",5,9.024,231.702242308536
"acorns",6,5.883,255.469681884738
"acoustic",8,8.594,247.017522317418
"acoustical",10,5.598,276.194366091777
"acoustically",12,5.056,290.114580720832
"acoustics",9,7.123,261.019387700701
"acquaint",8,5.118,269.873149177645
"acquaintance",12,7.151,275.046724364834
"acquainted",10,6.93,266.985540146042
"acquiesce",9,4.682,277.754655615195
"acquiesced",10,4.71,282.509375584059
"acquiescence",12,4.511,294.16789570664
"acquiescent",11,2.944,300.773450045836
"acquire",7,8.784,241.516027192896
"acquired",8,8.762,245.963289350243
"acquires",8,6.131,263.002321393714
"acquiring",9,7.577,258.019885423571
"acquisition",11,8.518,260.982467861808
"acquisitions",12,7.001,276.099062189478
"acquisitive",11,3.689,295.122626604729
"acquisitiveness",15,1.386,335.884292736994
"acquit",6,4.605,263.918235125863
"acquittal",9,5.517,271.912569936942
"acquitted",9,6.41,265.800597547721
"acre",4,7.349,237.557391286817
"acreage",7,5.442,262.964013314324
"acres",5,8.276,236.156767604276
"acrid",5,4.71,258.599323272543
"acrimonious",11,4.727,287.425968435699
"acrimony",8,4.489,274.229472867973
"acrobat",7,7.803,247.623722303121
"acrobatic",9,5.118,274.688686806117
"acrobatics",10,5.994,273.423914065452
"acrobats",8,4.19,276.324874343128
"acronym",7,7.584,249.008166802575
"Acropolis",9,4.691,277.691022665205
"across",6,11.04,224.038009978691
"acrylic",7,6.738,254.429388187385
"act",3,11.187,211.666989226817
"acted",5,8.496,234.837796145834
"acting",6,9.681,231.924859870019
"action",6,11.261,222.781051944276
"actions",7,10.3,232.372382491216
"activate",8,8.157,249.780995195461
"activated",9,8.085,254.704457779164
"activating",10,6.485,270.027392065219
"activation",10,7.559,262.744291306705
"active",6,10.479,227.260692486748
"actively",8,8.868,245.300434778967
"activism",8,7.351,254.959277461047
"activist",8,8.168,249.711056227143
"activities",10,10.397,244.430464096849
"activity",8,10.184,237.218275863508
"actor",5,9.256,230.337771438841
"actors",6,8.889,236.648601267626
"actor's",7,5.894,259.955400051059
"actress",7,8.516,243.169477315132
"actresses",9,7.416,259.079620595949
"acts",4,9.874,222.767192964991
"actual",6,10.619,226.452143011993
"actualities",11,3.638,295.506053528093
"actuality",9,6.856,262.799669868936
"actually",8,12.188,225.419350878974
"actuary",7,3.892,273.548086354016
"acuity",6,5.429,258.439537837092
"acupuncture",11,6.263,276.403431673438
"acute",5,7.794,239.072466655574
"acutely",7,5.805,260.545069876419
"acuteness",9,2.944,290.320233824013
"ad",2,10.675,210.684649338042
"Ada",3,9.644,220.147166246825
"adage",5,6.221,248.840588909436
"Adam",4,9.885,222.704817892625
"adamant",7,6.436,256.393077382056
"adamantly",9,5.796,269.988060736438
"Adam's",6,6.612,250.772135926574
"adapt",5,8.128,237.048241216159
"adaptability",12,5.434,287.336138736254
"adaptable",9,6.687,263.932785083608
"adaptation",10,7.601,262.463503419025
"adaptations",11,6.234,276.607572424926
"adapted",7,8.039,246.140425001921
"adapter",7,9.621,236.424119802244
"adapters",8,8.445,247.956306886656
"adapting",8,6.592,259.933705984058
"Ada's",5,5.112,255.966262050902
"add",3,11.643,209.223966446714
"added",5,11.036,220.132839497314
"addendum",8,7.2,255.941275777503
"adder",5,5.861,251.131685188022
"addict",6,7.543,244.898319868472
"addicted",8,7.745,252.414682210574
"addiction",9,8.142,254.335119529351
"addicts",7,7.554,249.198418550363
"adding",6,10.089,229.528335366717
"addition",8,10.757,233.782958034455
"additional",10,10.933,241.117716559255
"additionally",12,8.803,263.718967338564
"additions",9,9.135,247.986115308685
"additive",8,6.806,258.52142265739
"additives",9,7.143,260.886519774452
"addle",5,1.946,277.451559138694
"address",7,12.308,220.792000842389
"addressed",9,9.404,246.293643798487
"addressee",9,5.438,272.459990527472
"addressees",10,4.605,283.265565194428
"addresses",9,10.472,239.687292105108
"addressing",10,8.874,254.093860886687
"adds",4,9.382,225.574998286347
"adduce",6,4.466,264.853814838395
"Adele",5,5.357,254.374701874614
"adept",5,7.47,241.052602055678
"adequacy",8,6.009,263.820450754201
"adequate",8,9.009,244.421480785434
"adequately",10,7.963,260.055784524505
"adhere",6,7.566,244.75496433766
"adhered",7,5.958,259.532192882605
"adherence",9,6.806,263.134403394326
"adherent",8,4.963,270.940178805232
"adherents",9,6.54,264.922366486045
